Monitored,Range
Access tokens,.0;.0
Anti-virus,.0;.0
API monitoring,.0;.0
Application logs,.0;.0
Asset management,.0;.0
Authentication logs,.0;.0
AWS CloudTrail logs,.0;.0
Azure activity logs,.0;.0
BIOS,.0;.0
Binary file metadata,.0;.0
Data loss prevention,.0;.0
Detonation chamber,.0;.0
DLL monitoring,.0;.0
DNS records,.0;.0
Email gateway,.0;.0
Environment variable,.0;.0
File monitoring,.0;.0
Host network interface,.0;.0
Kernel drivers,.0;.0
Loaded DLLs,.0;.0
Mail server,.0;.0
Malware reverse engineering,.0;.0
MBR,.0;.0
Named Pipes,.0;.0
Netflow/Enclave netflow,.0;.0
Network device logs,.0;.0
Network intrusion detection system,.0;.0
Network protocol analysis,.0;.0
Office 365 account logs,.0;.0
Packet capture,.0;.0
PowerShell logs,.0;.0
Process command-line parameters,.0;.0
Process monitoring,.0;.0
Process use of network,.0;.0
Services,.0;.0
SSL/TLS inspection,.0;.0
Stackdriver logs,.0;.0
System calls,.0;.0
Third-party application logs,.0;.0
User interface,.0;.0
Web application firewall logs,.0;.0
Web logs,.0;.0
Web proxy,.0;.0
Windows Error Reporting,.0;.0
Windows event logs,.0;.0
Windows Registry,.0;.0
