Monitored,Range
Access tokens,.3;.5
Anti-virus,.3;.5
API monitoring,.3;.5
Application logs,.3;.5
Asset management,.3;.5
Authentication logs,.3;.5
AWS CloudTrail logs,.3;.5
Azure activity logs,.3;.5
BIOS,.3;.5
Binary file metadata,.3;.5
Data loss prevention,.3;.5
Detonation chamber,.3;.5
DLL monitoring,.3;.5
DNS records,.3;.5
Email gateway,.3;.5
Environment variable,.3;.5
File monitoring,.3;.5
Host network interface,.3;.5
Kernel drivers,.3;.5
Loaded DLLs,.3;.5
Mail server,.3;.5
Malware reverse engineering,.3;.5
MBR,.3;.5
Named Pipes,.3;.5
Netflow/Enclave netflow,.3;.5
Network device logs,.3;.5
Network intrusion detection system,.3;.5
Network protocol analysis,.3;.5
Office 365 account logs,.3;.5
Packet capture,.3;.5
PowerShell logs,.3;.5
Process command-line parameters,.3;.5
Process monitoring,.3;.5
Process use of network,.3;.5
Services,.3;.5
SSL/TLS inspection,.3;.5
Stackdriver logs,.3;.5
System calls,.3;.5
Third-party application logs,.3;.5
User interface,.3;.5
Web application firewall logs,.3;.5
Web logs,.3;.5
Web proxy,.3;.5
Windows Error Reporting,.3;.5
Windows event logs,.3;.5
Windows Registry,.3;.5
